,Asset_Count,Electric Motors,Rolling Element Bearings (Oil),Rolling Element Bearings (Grease),Gearboxes / Speed Reducers,Belt Drives,Chain Drives,Couplings (Flexible),Centrifugal Pumps,Positive Displacement Pumps,Fans / Blowers,Compressors (Rotary Screw),Compressors (Reciprocating),Hydraulic Power Units,Hydraulic Cylinders/Actuators,Pneumatic Systems,Electrical Connections/Terminations,Electrical Distribution (Switchgear/MCCs),Transformers,Steam Traps,Compressed Air Distribution,FANUC Industrial Robots,Process Heat Exchangers,Machine Tool Spindles
Actuator,17,,,,,,,,,,,,,,,x,x,,,,x,,,
Agitator,93,,,,,,,,,,,,,,,,,,,,,,,
Air Conditioner,352,,,x,,x,,,,,x,,,,,,,,x,,,,x,
Auto Tool Changer,60,,,,,,,,,,,,,,,,,,,,,,,
Automated Guided,18,,,,,,,,,,,,,,,,,,,,,,,
Automated Lifts,811,x,x,x,x,,,,,,,,,,,,,,,,,,,
Automation Equipment,103,x,,,,,,,,,,,,,,,x,,,,,,,
Boiler,10,,,,,,,,,,,,,,,,x,,x,x,,,x,
Booth,41,,,,,,,,,,,,,,,,,,,,,x,,
Brake,5,,,,,,,,,,,,,,,,,,,,,,,
Building,2,,,,,,,,,,,,,,,,,,x,,,,x,
Car - Vehicle,9,,,,,,,,,,,,,,,,,,,,,,,
Carrier,3981,,,,,,,,,,,,,,,,,,,,,,,
Cart,133,,,,,,,,,,,,,,,,,,,,,,,
Chain Conveyor,2,x,,,,,x,,,,,,,,,,x,,,,,,,
Chiller,34,,,,,,,,,,,x,x,,,,,,x,,,,x,
Clarifier,14,,,,,,,,,,,,,,,,,,,,,,,
Cleaning,20,,,,,,,,,,,,,,,,,,,,,,,
Compactor and Bailer,11,x,,,,,,,,,,,,,,,,,,,,,,
Compresser,26,x,,x,,,,x,,,,x,x,,,,,,,,,,,
Conditioner,11,,,,,,,,,,,,,,,,,,,,x,,,
Conveyor,1272,x,x,x,x,x,x,,,,,,,,,,,,,,,,,
Cookers,74,,,,,,,,,,,,,,,,x,,x,,,,x,
Cooling Tower,24,,,,,,,,,,,,,,,,,,,,,,,
Dampener,273,,,,,,,,,,,,,,,x,,,,,x,,,
Dent Puller,5,,,,,,,,,,,,,,,,,,,,,,,
Device,401,,,,,,,,,,,,,,,,x,,,,,,,
Die,349,,,,,,,,,,,,,,,,,,,,,,,
Dispensers,63,,,,,,,,,,,,,,,x,,,,,x,,,
Dock Locks,1,,,,,,,,,,,,,,,,,,,,,,,
Doors,269,x,,,,,,,,,,,,,,x,,,,,,,x,
Drill,3,,,,,,,,,,,,,,,,,,,,,,,x
Drive Unit,131,x,x,x,,x,,,,,,,,,,,,,,,,,,
Drop Lifts,40,x,x,x,,,,,,,,,,,,,x,,,,,,,
Dynometer,2,,,,,,,,,,,,,,,,,,,,,,,
Electrical,108,,,,,,,,,,,,,,,,x,,x,,,,,
Elevator,1,,x,x,,,,,,,,,,,,,,,,,,,,
Fan,1003,x,,x,x,x,,,,,x,,,,,,x,,,,,,,
Fastening,1,,,,,,,,,,,,,,,,,,,,,,,x
Feeder,305,,,,,,,,,,,,,,,,,,,,,,,
Filter Press,9,,,,,,,,,,,,,,,,,,,,,,,
Filtration,83,,,,,,,,,,,,,,,,,,,,,,,
Fire Protection Alarms,8,,,,,,,,,,,,,,,,,,,,,,,
Fire Suppression,103,,,,,,,,,,,,,,,,,,,,,,,
Fixture,184,,,,,,,,,,,,,,,,,,,,,,,
Fixture Mount,3,,,,,,,,,,,,,,,,,,,,,,,
Food Processors,15,,,,,,,,,,,,,,,,,,,,,,,
Forklift,1,,,,,,,,,,,,,,,,,,,,,,,
Forming,3,,,,,,,,,,,,,,,,,,,,,,,
Fountain,121,,,,,,,,,,,,,,,,,,,,,,,
Friction Conveyor,10,x,,,,,,,,,,,,,,,x,,,,,,,
Furnace,34,x,,,,,,,,,x,,,,,,,,x,,,,x,
Generator,6,,,,,,,,,,,,,,,,x,x,x,,,,,
Grinder,30,x,,x,x,,,,,,,,,,,,,,,,,,,x
Grounds,18,,,,,,,,,,,,,,,,,,,,,,,
Guard,34,,,,,,,,,,,,,,,,,,,,,,,
HANDHELD,4,,,,,,,,,,,,,,,,,,,,,,,
HVAC,8,x,,,x,x,,,,,x,,,,,,,,,,,,,
Head Assembly,222,,,,,,,,,,,,,,,,,,,,x,,,
Heat Exchanger,2,,,,,,,,,,,,,,,,,,,,,,x,
Heat Treatment,5,,,,,,,,,,,,,,,,,,x,,,,x,
Heater,210,,,,,,,,,,,,,,,,x,,,,,,x,
Hone,12,,,,,,,,,,,,,,,,,,,,,,,x
Human Machine Interface,9,,,,,,,,,,,,,,,,,,,,,,,
Instrumentation,26,,,,,,,,,,,,,,,,,,,,,,,
Jig,530,,,,,,,,,,,,,,,,,,,,,,,
Laser Etching,5,,,,,,,,,,,,,,,,,,,,,,,
Lathe,8,x,,,x,,,x,,,,,,,,,,,,,,,,
Lighting,132,,,,,,,,,,,,,,,,,,,,,,,
Linebore,3,,,,,,,,,,,,,,,,,,,,,,,x
Locks,41,,,,,,,,,,,,,,,,,,,,,,,
Lubrication,44,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL \ FAN \ BELT DRIVEN FAN,93,x,x,x,,x,,,,,,,,,,,x,,,,,,,
Manipulator,1069,,x,x,,,,,,,,,,,,,,,,,,x,,
Manually Operated Lifts,191,,,,,,,,,,,,,,,,,,,,,,,
Marking System,37,,,,,,,,,,,,,,,,,,,,,,,
Material Handling,27,,,,,,,,,,,,,,,x,,,,,x,,,
Measurement and Gauging,484,,,,,,,,,,,,,,,,,,,,,,,
Mechanical,158,,x,x,x,x,x,x,,,,,,,,,,,,,,,,
Mill,75,,,,,,,,,,,,,x,x,,,,,,,,,x
Mixers,2,x,x,x,x,,,x,,,,,,,,,,,,,,,,
Module,132,,,,,,,,,,,,,,,,,,,,,,,
Mold,27,,,,,,,,,,,,,,,,,,,,,,,
Motor,396,x,,,,,,x,,,x,x,x,,,,x,,,,,,,
Motor Control Center,93,,,,,,,,,,,,,,,,x,x,x,,,,,
Not In List,1823,,,,,,,,,,,,,,,,,,,,,,,
Nutrunner,4,,,,,,,,,,,,,,,,,,,,,,,x
Oven,134,x,,,,x,,,,,x,,,,,,x,,,,,,x,
Overhead Lifts,192,x,x,x,x,,,x,,,,,,,,,x,,,,,,,
Painting,129,,,,,,,,,,,,,,,,,,,,x,,,
Pallet,907,,,,,,,,,,,,,,,,,,,,,,,
Pallet Conveyor,1,x,x,x,,,,,,,,,,,,,,,,,,,,
Panel,1918,,,,,,,,,,,,,,,,x,,x,,,,,
Personal Computer,45,,,,,,,,,,,,,,,,,,,,,,,
Pipes,18,,,,,,,,,,,,,,,,,,,,,,,
Piping and Valving,9,,,,,,,,,,,,,x,x,x,,,,,x,,,
Pits,25,,,,,,,,,,,,,,,,,,,,,,,
Plumbing Fixtures,157,,,,,,,,,,,,,,,,,,,,,,,
Positioner,27,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution,645,,,,,,,,,,,,,,,,x,x,x,,,,,
Power Tool,53,,,,,,,,,,,,,,,,,,,,,,,x
Press,127,x,x,x,x,,,,,,,,,x,x,,x,x,,,,,,
Pumps,836,x,,,,,,x,x,x,,,,,,,,,,,,,,
ROBOT TRANSFER UNIT (RTU),23,,x,x,x,,,,,,,,,,,,,,,,,x,,
Rack,6,,,,,,,,,,,,,,,,,,,,,,,
Rails,49,,,,,,,,,,,,,,,,,,,,,,,
Refrigeration,79,,,,,,,,,,,,,,,,,,,,,,x,
Robot,302,,,,,,,,,,,,,,,,x,,,,,x,,
SPOT WELDER,528,,,,,,,,,,,,,,,,,,x,,,,x,
Safety Station,34,,,,,,,,,,,,,,,,,,,,,,,
Safety Systems,45,,,,,,,,,,,,,,,,,,,,,,,
Saw,8,,,,,,,,,,,,,,,,,,,,,,,
Seals,1,,,,,,,,,,,,,,,,,,,,,,,
Shuttle,97,,x,x,,,,,,,,,,,,,,,,,,,,
Stocker,86,,,,,,,,,,,,,,,,,,,,,,,
Stopper,347,,,,,,,,,,,,,,,,,,,,,,,
Storage,9,,,,,,,,,,,,,,,,,,,,,,,
Structures,200,,,,,,,,,,,,,,,,,,,,,,,
Tanks,125,,,,,,,,,,,x,x,,,,x,,,,,,,
Tip Dresser,291,,,,,,,,,,,,,,,,,,,,,,,
Tooling,717,,,,,,,,,,,,,,,,,,,,,,,x
Torch,2,,,,,,,,,,,,,,,,,,,,,,,
Transferring and Conveying,356,x,x,x,x,x,x,,,,,,,,,,,,,,,,,
Transfers,139,x,x,x,x,x,x,,,,,,,,,,,,,,,,,
Valve,203,,,,,,,,,,,,,,,,,,,x,,,x,
Variable Frequency Drive,36,x,,,,,,,,,,,,,,,x,,,,,,,
Visual-Camera-Video,75,,,,,,,,,,,,,,,,,,,,,,,
Water Treatment,3,x,,,,,,,x,x,,,,,,,,,,,,,x,
Welder,65,,,,,,,,,,,,,,,,x,,x,,,,,
