class_name,component_name
Actuator,Pneumatic Systems
Actuator,Electrical Connections/Terminations
Actuator,Compressed Air Distribution
Air Conditioner,Rolling Element Bearings (Grease)
Air Conditioner,Belt Drives
Air Conditioner,Fans / Blowers
Air Conditioner,Transformers
Air Conditioner,Process Heat Exchangers
Automated Lifts,Rolling Element Bearings (Oil)
Automated Lifts,Rolling Element Bearings (Grease)
Automated Lifts,Gearboxes / Speed Reducers
Automation Equipment,Electrical Connections/Terminations
Boiler,Electrical Connections/Terminations
Boiler,Transformers
Boiler,Steam Traps
Boiler,Process Heat Exchangers
Booth,FANUC Industrial Robots
Building,Transformers
Building,Process Heat Exchangers
Chain Conveyor,Chain Drives
Chain Conveyor,Electrical Connections/Terminations
Chiller,Compressors (Rotary Screw)
Chiller,Compressors (Reciprocating)
Chiller,Transformers
Chiller,Process Heat Exchangers
Compresser,Rolling Element Bearings (Grease)
Compresser,Compressors (Rotary Screw)
Compresser,Compressors (Reciprocating)
Conditioner,Compressed Air Distribution
Conveyor,Rolling Element Bearings (Oil)
Conveyor,Rolling Element Bearings (Grease)
Conveyor,Gearboxes / Speed Reducers
Conveyor,Belt Drives
Conveyor,Chain Drives
Cookers,Electrical Connections/Terminations
Cookers,Transformers
Cookers,Process Heat Exchangers
Dampener,Pneumatic Systems
Dampener,Compressed Air Distribution
Device,Electrical Connections/Terminations
Dispensers,Pneumatic Systems
Dispensers,Compressed Air Distribution
Doors,Pneumatic Systems
Doors,Process Heat Exchangers
Drill,Machine Tool Spindles
Drive Unit,Rolling Element Bearings (Oil)
Drive Unit,Rolling Element Bearings (Grease)
Drive Unit,Belt Drives
Drop Lifts,Rolling Element Bearings (Oil)
Drop Lifts,Rolling Element Bearings (Grease)
Drop Lifts,Electrical Connections/Terminations
Electrical,Electrical Connections/Terminations
Electrical,Transformers
Elevator,Rolling Element Bearings (Oil)
Elevator,Rolling Element Bearings (Grease)
Fan,Rolling Element Bearings (Grease)
Fan,Gearboxes / Speed Reducers
Fan,Belt Drives
Fan,Fans / Blowers
Fan,Electrical Connections/Terminations
Fastening,Machine Tool Spindles
Friction Conveyor,Electrical Connections/Terminations
Furnace,Fans / Blowers
Furnace,Transformers
Furnace,Process Heat Exchangers
Generator,Electrical Connections/Terminations
Generator,Electrical Distribution (Switchgear/MCCs)
Generator,Transformers
Grinder,Rolling Element Bearings (Grease)
Grinder,Gearboxes / Speed Reducers
Grinder,Machine Tool Spindles
HVAC,Gearboxes / Speed Reducers
HVAC,Belt Drives
HVAC,Fans / Blowers
Head Assembly,Compressed Air Distribution
Heat Exchanger,Process Heat Exchangers
Heat Treatment,Transformers
Heat Treatment,Process Heat Exchangers
Heater,Electrical Connections/Terminations
Heater,Process Heat Exchangers
Hone,Machine Tool Spindles
Lathe,Gearboxes / Speed Reducers
Linebore,Machine Tool Spindles
MECHANICAL \ FAN \ BELT DRIVEN FAN,Rolling Element Bearings (Grease)
MECHANICAL \ FAN \ BELT DRIVEN FAN,Belt Drives
MECHANICAL \ FAN \ BELT DRIVEN FAN,Electrical Connections/Terminations
Manipulator,Rolling Element Bearings (Oil)
Manipulator,Rolling Element Bearings (Grease)
Manipulator,FANUC Industrial Robots
Material Handling,Pneumatic Systems
Material Handling,Compressed Air Distribution
Mechanical,Rolling Element Bearings (Oil)
Mechanical,Rolling Element Bearings (Grease)
Mechanical,Gearboxes / Speed Reducers
Mechanical,Belt Drives
Mechanical,Chain Drives
Mill,Hydraulic Power Units
Mill,Hydraulic Cylinders/Actuators
Mill,Machine Tool Spindles
Mixers,Rolling Element Bearings (Oil)
Mixers,Rolling Element Bearings (Grease)
Mixers,Gearboxes / Speed Reducers
Motor,Fans / Blowers
Motor,Compressors (Rotary Screw)
Motor,Compressors (Reciprocating)
Motor,Electrical Connections/Terminations
Motor Control Center,Electrical Connections/Terminations
Motor Control Center,Electrical Distribution (Switchgear/MCCs)
Motor Control Center,Transformers
Nutrunner,Machine Tool Spindles
Oven,Belt Drives
Oven,Fans / Blowers
Oven,Electrical Connections/Terminations
Oven,Process Heat Exchangers
Overhead Lifts,Rolling Element Bearings (Oil)
Overhead Lifts,Rolling Element Bearings (Grease)
Overhead Lifts,Gearboxes / Speed Reducers
Overhead Lifts,Electrical Connections/Terminations
Painting,Compressed Air Distribution
Pallet Conveyor,Rolling Element Bearings (Oil)
Pallet Conveyor,Rolling Element Bearings (Grease)
Panel,Electrical Connections/Terminations
Panel,Transformers
Piping and Valving,Hydraulic Power Units
Piping and Valving,Hydraulic Cylinders/Actuators
Piping and Valving,Pneumatic Systems
Piping and Valving,Compressed Air Distribution
Power Distribution,Electrical Connections/Terminations
Power Distribution,Electrical Distribution (Switchgear/MCCs)
Power Distribution,Transformers
Power Tool,Machine Tool Spindles
Press,Rolling Element Bearings (Oil)
Press,Rolling Element Bearings (Grease)
Press,Gearboxes / Speed Reducers
Press,Hydraulic Power Units
Press,Hydraulic Cylinders/Actuators
Press,Electrical Connections/Terminations
Press,Electrical Distribution (Switchgear/MCCs)
ROBOT TRANSFER UNIT (RTU),Rolling Element Bearings (Oil)
ROBOT TRANSFER UNIT (RTU),Rolling Element Bearings (Grease)
ROBOT TRANSFER UNIT (RTU),Gearboxes / Speed Reducers
ROBOT TRANSFER UNIT (RTU),FANUC Industrial Robots
Refrigeration,Process Heat Exchangers
Robot,Electrical Connections/Terminations
Robot,FANUC Industrial Robots
SPOT WELDER,Transformers
SPOT WELDER,Process Heat Exchangers
Shuttle,Rolling Element Bearings (Oil)
Shuttle,Rolling Element Bearings (Grease)
Tanks,Compressors (Rotary Screw)
Tanks,Compressors (Reciprocating)
Tanks,Electrical Connections/Terminations
Tooling,Machine Tool Spindles
Transferring and Conveying,Rolling Element Bearings (Oil)
Transferring and Conveying,Rolling Element Bearings (Grease)
Transferring and Conveying,Gearboxes / Speed Reducers
Transferring and Conveying,Belt Drives
Transferring and Conveying,Chain Drives
Transfers,Rolling Element Bearings (Oil)
Transfers,Rolling Element Bearings (Grease)
Transfers,Gearboxes / Speed Reducers
Transfers,Belt Drives
Transfers,Chain Drives
Valve,Steam Traps
Valve,Process Heat Exchangers
Variable Frequency Drive,Electrical Connections/Terminations
Water Treatment,Process Heat Exchangers
Welder,Electrical Connections/Terminations
Welder,Transformers
Chain Conveyor,Chain Pin
